jaar	leeftijd	mannen	vrouwen	totaal 
1988	0	63	64	127
1988	1	55	79	134
1988	2	70	71	141
1988	3	77	60	137
1988	4	74	73	147
1988	5	89	71	160
1988	6	83	86	169
1988	7	91	85	176
1988	8	71	98	169
1988	9	91	102	193
1988	10	96	95	191
1988	11	118	89	207
1988	12	110	121	231
1988	13	108	89	197
1988	14	115	108	223
1988	15	131	116	247
1988	16	146	147	293
1988	17	155	141	296
1988	18	153	140	293
1988	19	123	142	265
1988	20	127	108	235
1988	21	133	109	242
1988	22	116	97	213
1988	23	134	84	218
1988	24	90	100	190
1988	25	99	99	198
1988	26	100	87	187
1988	27	73	82	155
1988	28	80	59	139
1988	29	78	78	156
1988	30	86	85	171
1988	31	80	95	175
1988	32	84	103	187
1988	33	79	100	179
1988	34	100	93	193
1988	35	90	115	205
1988	36	115	98	213
1988	37	116	124	240
1988	38	131	132	263
1988	39	108	161	269
1988	40	151	144	295
1988	41	173	188	361
1988	42	136	120	256
1988	43	133	133	266
1988	44	105	139	244
1988	45	139	132	271
1988	46	121	117	238
1988	47	120	132	252
1988	48	99	120	219
1988	49	102	109	211
1988	50	82	100	182
1988	51	109	99	208
1988	52	118	95	213
1988	53	109	88	197
1988	54	88	113	201
1988	55	85	132	217
1988	56	83	106	189
1988	57	101	117	218
1988	58	95	96	191
1988	59	107	105	212
1988	60	90	111	201
1988	61	101	114	215
1988	62	99	136	235
1988	63	105	111	216
1988	64	78	107	185
1988	65	107	120	227
1988	66	98	140	238
1988	67	92	136	228
1988	68	66	98	164
1988	69	67	115	182
1988	70	69	96	165
1988	71	74	103	177
1988	72	64	99	163
1988	73	56	107	163
1988	74	62	100	162
1988	75	59	91	150
1988	76	53	111	164
1988	77	56	94	150
1988	78	41	75	116
1988	79	35	107	142
1988	80	36	87	123
1988	81	34	85	119
1988	82	22	97	119
1988	83	24	76	100
1988	84	15	73	88
1988	85	23	75	98
1988	86	20	62	82
1988	87	12	63	75
1988	88	15	49	64
1988	89	14	40	54
1988	90	7	33	40
1988	91	5	19	24
1988	92	5	18	23
1988	93	1	13	14
1988	94	3	4	7
1988	95	0	0	0
1988	96	0	0	0
1988	97	0	0	0
1988	98	0	0	0
1988	99	0	0	0
1988	100	0	0	0
1988	101	0	0	0
1988	102	0	0	0
1988	103	0	0	0
1988	104	0	0	0
1988	105  of ouder	0	0	0
1988	95  of ouder	9	31	40
1988	Totaal	8011	9367	
Totaal 1988		16022	18734	17378
1989	0	67	64	131
1989	1	68	68	136
1989	2	56	85	141
1989	3	79	75	154
1989	4	78	61	139
1989	5	80	79	159
1989	6	94	71	165
1989	7	91	86	177
1989	8	91	90	181
1989	9	72	102	174
1989	10	94	107	201
1989	11	96	98	194
1989	12	124	87	211
1989	13	114	122	236
1989	14	105	90	195
1989	15	117	109	226
1989	16	141	116	257
1989	17	146	149	295
1989	18	156	130	286
1989	19	145	130	275
1989	20	112	127	239
1989	21	123	88	211
1989	22	131	87	218
1989	23	102	83	185
1989	24	115	74	189
1989	25	93	85	178
1989	26	97	97	194
1989	27	92	86	178
1989	28	71	76	147
1989	29	79	62	141
1989	30	81	86	167
1989	31	87	87	174
1989	32	78	99	177
1989	33	86	111	197
1989	34	83	105	188
1989	35	103	95	198
1989	36	91	120	211
1989	37	123	108	231
1989	38	120	124	244
1989	39	133	142	275
1989	40	116	164	280
1989	41	160	153	313
1989	42	179	185	364
1989	43	134	124	258
1989	44	136	137	273
1989	45	103	141	244
1989	46	145	130	275
1989	47	120	112	232
1989	48	120	135	255
1989	49	101	123	224
1989	50	103	110	213
1989	51	88	100	188
1989	52	111	99	210
1989	53	117	99	216
1989	54	106	90	196
1989	55	85	114	199
1989	56	89	133	222
1989	57	84	106	190
1989	58	99	116	215
1989	59	95	98	193
1989	60	107	105	212
1989	61	89	111	200
1989	62	100	117	217
1989	63	99	135	234
1989	64	104	109	213
1989	65	74	108	182
1989	66	106	121	227
1989	67	93	145	238
1989	68	91	132	223
1989	69	66	93	159
1989	70	68	115	183
1989	71	64	94	158
1989	72	73	105	178
1989	73	66	100	166
1989	74	56	109	165
1989	75	62	103	165
1989	76	56	90	146
1989	77	54	105	159
1989	78	50	96	146
1989	79	40	70	110
1989	80	29	105	134
1989	81	35	82	117
1989	82	32	77	109
1989	83	21	92	113
1989	84	22	69	91
1989	85	15	64	79
1989	86	22	67	89
1989	87	19	56	75
1989	88	8	51	59
1989	89	12	42	54
1989	90	13	37	50
1989	91	7	27	34
1989	92	3	18	21
1989	93	3	16	19
1989	94	1	12	13
1989	95	0	0	0
1989	96	0	0	0
1989	97	0	0	0
1989	98	0	0	0
1989	99	0	0	0
1989	100	0	0	0
1989	101	0	0	0
1989	102	0	0	0
1989	103	0	0	0
1989	104	0	0	0
1989	105  of ouder	0	0	0
1989	95  of ouder	12	27	39
1989	Totaal	8077	9335	
Totaal 1989		16154	18670	17412
1990	0	71	67	138
1990	1	68	70	138
1990	2	69	71	140
1990	3	55	90	145
1990	4	81	79	160
1990	5	82	64	146
1990	6	83	79	162
1990	7	100	79	179
