Woningtype	Oppervlakteklasse	Jaar	Gemeente	Beginstand woningvoorraad
Totaal	Totaal	2012	Heemstede	11751
Totaal	Totaal	2013	Heemstede	11813
Totaal	Totaal	2014	Heemstede	12247
Totaal	Totaal	2015	Heemstede	12321
Totaal	Totaal	2016	Heemstede	12520
Totaal	Totaal	2017	Heemstede	12511
Totaal	Totaal	2018	Heemstede	12561
Totaal	Totaal	2019	Heemstede	12587
Totaal	Totaal	2020	Heemstede	12628
Totaal	Totaal	2021	Heemstede	12817
Totaal	Totaal	2022	Heemstede	12821
Totaal	Totaal	2023	Heemstede	12863
Totaal	Totaal	2024	Heemstede	12897
Totaal	Totaal	2025	Heemstede	12841
Totaal	2 tot 15 m²	2012	Heemstede	2
Totaal	2 tot 15 m²	2013	Heemstede	2
Totaal	2 tot 15 m²	2014	Heemstede	2
Totaal	2 tot 15 m²	2015	Heemstede	0
Totaal	2 tot 15 m²	2016	Heemstede	0
Totaal	2 tot 15 m²	2017	Heemstede	0
Totaal	2 tot 15 m²	2018	Heemstede	0
Totaal	2 tot 15 m²	2019	Heemstede	0
Totaal	2 tot 15 m²	2020	Heemstede	0
Totaal	2 tot 15 m²	2021	Heemstede	0
Totaal	2 tot 15 m²	2022	Heemstede	0
Totaal	2 tot 15 m²	2023	Heemstede	0
Totaal	2 tot 15 m²	2024	Heemstede	0
Totaal	2 tot 15 m²	2025	Heemstede	0
Totaal	15 tot 50 m²	2012	Heemstede	400
Totaal	15 tot 50 m²	2013	Heemstede	402
Totaal	15 tot 50 m²	2014	Heemstede	712
Totaal	15 tot 50 m²	2015	Heemstede	729
Totaal	15 tot 50 m²	2016	Heemstede	782
Totaal	15 tot 50 m²	2017	Heemstede	780
Totaal	15 tot 50 m²	2018	Heemstede	787
Totaal	15 tot 50 m²	2019	Heemstede	791
Totaal	15 tot 50 m²	2020	Heemstede	795
Totaal	15 tot 50 m²	2021	Heemstede	792
Totaal	15 tot 50 m²	2022	Heemstede	794
Totaal	15 tot 50 m²	2023	Heemstede	833
Totaal	15 tot 50 m²	2024	Heemstede	845
Totaal	15 tot 50 m²	2025	Heemstede	788
Totaal	50 tot 75 m²	2012	Heemstede	1479
Totaal	50 tot 75 m²	2013	Heemstede	1492
Totaal	50 tot 75 m²	2014	Heemstede	1532
Totaal	50 tot 75 m²	2015	Heemstede	1549
Totaal	50 tot 75 m²	2016	Heemstede	1555
Totaal	50 tot 75 m²	2017	Heemstede	1546
Totaal	50 tot 75 m²	2018	Heemstede	1551
Totaal	50 tot 75 m²	2019	Heemstede	1551
Totaal	50 tot 75 m²	2020	Heemstede	1553
Totaal	50 tot 75 m²	2021	Heemstede	1610
Totaal	50 tot 75 m²	2022	Heemstede	1456
Totaal	50 tot 75 m²	2023	Heemstede	1461
Totaal	50 tot 75 m²	2024	Heemstede	1470
Totaal	50 tot 75 m²	2025	Heemstede	1469
Totaal	75 tot 100 m²	2012	Heemstede	2559
Totaal	75 tot 100 m²	2013	Heemstede	2590
Totaal	75 tot 100 m²	2014	Heemstede	2607
Totaal	75 tot 100 m²	2015	Heemstede	2625
Totaal	75 tot 100 m²	2016	Heemstede	2643
Totaal	75 tot 100 m²	2017	Heemstede	2635
Totaal	75 tot 100 m²	2018	Heemstede	2624
Totaal	75 tot 100 m²	2019	Heemstede	2617
Totaal	75 tot 100 m²	2020	Heemstede	2596
