Geslacht	Jaar	Gemeente	Bevolking op 1 januari
Mannen	1988	Heemstede	12182
Mannen	1989	Heemstede	12204
Mannen	1990	Heemstede	12226
Mannen	1991	Heemstede	12427
Mannen	1992	Heemstede	12343
Mannen	1993	Heemstede	12274
Mannen	1994	Heemstede	12223
Mannen	1995	Heemstede	12183
Mannen	1996	Heemstede	12199
Mannen	1997	Heemstede	12210
Mannen	1998	Heemstede	12110
Mannen	1999	Heemstede	12080
Mannen	2000	Heemstede	12131
Mannen	2001	Heemstede	12213
Mannen	2002	Heemstede	12130
Mannen	2003	Heemstede	12020
Mannen	2004	Heemstede	11980
Mannen	2005	Heemstede	11996
Mannen	2006	Heemstede	11985
Mannen	2007	Heemstede	11940
Mannen	2008	Heemstede	12024
Mannen	2009	Heemstede	12052
Mannen	2010	Heemstede	12212
Mannen	2011	Heemstede	12324
Mannen	2012	Heemstede	12351
Mannen	2013	Heemstede	12371
Mannen	2014	Heemstede	12359
Mannen	2015	Heemstede	12383
Mannen	2016	Heemstede	12517
Mannen	2017	Heemstede	12661
Mannen	2018	Heemstede	12758
Mannen	2019	Heemstede	12900
Mannen	2020	Heemstede	12875
Mannen	2021	Heemstede	13078
Mannen	2022	Heemstede	13078
Mannen	2023	Heemstede	13143
Mannen	2024	Heemstede	13111
Mannen	2025	Heemstede	13126
Vrouwen	1988	Heemstede	14072
Vrouwen	1989	Heemstede	14104
Vrouwen	1990	Heemstede	14108
Vrouwen	1991	Heemstede	14233
Vrouwen	1992	Heemstede	14255
Vrouwen	1993	Heemstede	14138
Vrouwen	1994	Heemstede	14080
Vrouwen	1995	Heemstede	14012
Vrouwen	1996	Heemstede	14009
Vrouwen	1997	Heemstede	14067
Vrouwen	1998	Heemstede	13914
Vrouwen	1999	Heemstede	13795
Vrouwen	2000	Heemstede	13748
Vrouwen	2001	Heemstede	13790
Vrouwen	2002	Heemstede	13768
Vrouwen	2003	Heemstede	13740
Vrouwen	2004	Heemstede	13680
Vrouwen	2005	Heemstede	13648
Vrouwen	2006	Heemstede	13665
Vrouwen	2007	Heemstede	13635
Vrouwen	2008	Heemstede	13602
Vrouwen	2009	Heemstede	13628
Vrouwen	2010	Heemstede	13846
Vrouwen	2011	Heemstede	13973
Vrouwen	2012	Heemstede	13891
Vrouwen	2013	Heemstede	13946
Vrouwen	2014	Heemstede	14005
Vrouwen	2015	Heemstede	14097
Vrouwen	2016	Heemstede	14249
Vrouwen	2017	Heemstede	14275
Vrouwen	2018	Heemstede	14322
Vrouwen	2019	Heemstede	14386
Vrouwen	2020	Heemstede	14359
Vrouwen	2021	Heemstede	14467
Vrouwen	2022	Heemstede	14479
Vrouwen	2023	Heemstede	14635
Vrouwen	2024	Heemstede	14482
Vrouwen	2025	Heemstede	14512
